2023-05-19 15:46:58,110 DEBUG [main] PackageRelationshipCollection  - Parsing relationship: /xl/_rels/workbook.xml.rels
2023-05-19 15:46:58,115 DEBUG [main] PackageRelationshipCollection  - Parsing relationship: /_rels/.rels
2023-05-19 15:46:58,824 DEBUG [main] InternalLoggerFactory  - Using SLF4J as the default logging framework
2023-05-19 15:46:58,828 DEBUG [main] ResourceLeakDetector  - -Dio.netty.leakDetection.level: simple
2023-05-19 15:46:58,828 DEBUG [main] ResourceLeakDetector  - -Dio.netty.leakDetection.targetRecords: 4
2023-05-19 15:46:58,833 DEBUG [main] ResourceLeakDetectorFactory  - Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@45673f68
2023-05-19 15:46:58,857 DEBUG [main] PlatformDependent0  - -Dio.netty.noUnsafe: false
2023-05-19 15:46:58,857 DEBUG [main] PlatformDependent0  - Java version: 17
2023-05-19 15:46:58,858 DEBUG [main] PlatformDependent0  - sun.misc.Unsafe.theUnsafe: available
2023-05-19 15:46:58,859 DEBUG [main] PlatformDependent0  - sun.misc.Unsafe.copyMemory: available
2023-05-19 15:46:58,859 DEBUG [main] PlatformDependent0  - sun.misc.Unsafe.storeFence: available
2023-05-19 15:46:58,861 DEBUG [main] PlatformDependent0  - java.nio.Buffer.address: available
2023-05-19 15:46:58,862 DEBUG [main] PlatformDependent0  - direct buffer constructor: unavailable: Reflective setAccessible(true) disabled
2023-05-19 15:46:58,862 DEBUG [main] PlatformDependent0  - java.nio.Bits.unaligned: available, true
2023-05-19 15:46:58,864 DEBUG [main] PlatformDependent0  - jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable: class io.netty.util.internal.PlatformDependent0$7 cannot access class jdk.internal.misc.Unsafe (in module java.base) because module java.base does not export jdk.internal.misc to unnamed module @7e32c033
2023-05-19 15:46:58,867 DEBUG [main] PlatformDependent0  - java.nio.DirectByteBuffer.<init>(long, int): unavailable
2023-05-19 15:46:58,867 DEBUG [main] PlatformDependent  - sun.misc.Unsafe: available
2023-05-19 15:46:58,915 DEBUG [main] PlatformDependent  - maxDirectMemory: 1967128576 bytes (maybe)
2023-05-19 15:46:58,915 DEBUG [main] PlatformDependent  - -Dio.netty.tmpdir: C:\Users\Raja\AppData\Local\Temp (java.io.tmpdir)
2023-05-19 15:46:58,916 DEBUG [main] PlatformDependent  - -Dio.netty.bitMode: 64 (sun.arch.data.model)
